text,recalled
"I was in my car approaching a. section of the road which narrowed under a bridge.Generally people know to let a few cars pass in one direction, and then stop to let the other direction go.I stopped to let cars from the oncoming direction pass, then there was a short gap in that direction - it would have been my turn anyway -so I moved forward.A woman in an oncoming car did, however, proceed in spite of the fact that the bit of road was too narrow for two cars to pass, so we met.She just stood there and did not want to give way, wanted to force my car onto the pavement and gave me the middle finger.When she squeezed past, I opened the car window to remonstrate with her, but instead I got a whole barrage of swear words which m",1
I was in my living room watching a daytime show on Sunday morning.My partner entered the room and sat on the sofa opposite me.He started to say he had something to tell me and I tried to stop him.He went on to say that he was leaving me because he was having an affair with a coworker and had been for three years since my mum died.He said I was “a boring bitch” and he had hoped I would die of COVID and let him move his girlfriend into the house with my kids.I started to cry.He said he would tell the kids that he was leaving.I felt numb and could hardly talk because I was so stunned by what he had said.I could hear him talking to the my children in the next room and heard when they started to cry as well.He left soon after and my kids came to hug me and we all cried more.,0
I was introduced to a new colleague when introducing I was polite and I was greeted rudly and looked up and down,1
I was making lunch in the kitchen and my dad was also there.I was cutting up cheese and had to go get some more because I needed it and my dad started cutting it up for me and I told him I didn’t want it because he hadn’t cleaned his hands.He got angry at me and called me useless and a waste of space.,1
"I was on holiday with my children when they were fairly young.we had gone to the beach and the children were playing a game of tennis on the sand.my son hit the ball unintentionally into another group of people who were sitting behind a windbreak nearby.A man, who I knew had been drinking as there were several empty beer cans in a pile by his deckchair, came over and started yelling at my young son.I ran over as my son was distressed and asked him to stop yelling at him.The man turned on me and walked towards me with a sneer on his face and shouted that I should control my kids and keep them away from other people.he stank of booze, was aggressive and was literally spitting his words out so that when he got really close he actually spat onto my face.I can remember vividly the spit and the smell of his breath and my ears just ringing with discomfort.I was burning up but didn't feel I could stand up to him as he was drunk.I called my kids over and we packed up and went to a different part of the beach, miles away",1
"I was on the bus coming home from work.I had pressed the bell and went and stood near the doors, waiting for the bus to stop.As i was waiting the driver said to me is the bus near the kerb, i looked down through the doors and said to himyes not to far away with which he then answered well if you wasn't that big i could see for myself, i can't look through you.I was mortified that he had said this i answered with the reply don't be goddam cheeky if you had asked me to move slightly i would of done, he then said you don't look like you could of done, he was so rude about my size, i asked for his badge number which he wouldn't give but i then took",1
"I was on the train home for Christmas and did not manage to reserve a seat on the very busy train.The train was very busy and most seats were taken.I sat in a seat that was unreserved for the first part of my journey and fell asleep for a bit.I was woken up by a man who had the seat I was in reservedand he asked me to move.I was taking a couple of minutes getting all my things together which made him angry and he started to raise his voice and called me a 'fucking idiot'.I do not deal well with conflict and became upset and on the verge of tears.I told him I just wanted to make sure I didn't leave anything or drop any of my things further down the train.At this point, I was shaking and tried to get my things as quickly as possible.I moved to another carriage on the train after this to not be in the presence of this man.",1
I was once called a slag because I would not give my number to a man.He then called me a slut because I spoke to other men and not him and would not sleep with him!,1
I was once referred to as,1
"It was really busy and there was a huge queue.I think we were in Leeds for my friends birthday, she went to uni in Leeds.So there was a big group of girls.We had all had a lot to drink, I remember thinking I needed to go starDy after this next cocktail.There was a man who shoved right in front of my in the queue and I was drunk and annoyed!I grabbed his coat to get his attention, and he shouted get off me you bitch.I was a bit taken a back and frightened.He looked really angry and bitter.",1
"I was out at the town centre for a night out, when we went for food afterwards.Whilst ordering food, a group of boys also in the establishment were trying to jump the que.I asked if they could wait their turn, when they started to shout abuse at me.This included insults including bitch, slut.It made me feel really intimated and small.It was rude and the people employed in the shop did not come to my defence and it made it feel like this was acceptable way to address a stranger.",1
I was out in my car and was looking for a space to park in.I had to drive around several times as the car park was busy.There were cars in front of me so I couldn't reasonably drive any faster.The driver behind me was getting annoyed and whe.I eventually found a space he leaned out of his window and called me a 'muppet'.I found the situation mildly amusing as I can't understand why someone would get so wound up about something so trivial,1
I was out with friends in a night club.The partner of a girl that had fallen out with me came over and started being verbally abusive; saying I had no friends; everyone hated me and I would live a sad and lonely life.I felt angry and upset simultaneously; how dare he come over and spoil my evening.This happened 20 years ago but I can still remember the moment vividly.,1
"I was out with some friends and we were at a bar.Dressed for a night out, I didn't have anything too revealing on, but had a nice leather skirt and a sparkly top.Minding my own business whilst waiting to order a drink, some guys who were having quite a merry time started chatting.One was particularly drunk and started leaning on me and breathing in my face, I tried to push him off me gently at first but he was;t taking the hint, I tried harder and he put his arm around my waist.I asked him to remove it and he started calling me a bitch and that I had been trying to lead him on!!His language was a bit slurred but he kept being aggressive and eventually one of his friends escorted him back down to a table.I felt quite shook up, it was so in my face and direct that it did spoil my night.",1
I was parking my car and someone aggressively overtook me to park in the space I was going to.They shouted out of their window ‘watch out idiot’.I felt incensed as they were the one behaving badly and not me.,1
I was shopping in my local shop and the assistant was on her ear piece the whole time she was putting through my purchases.She was talking to a colleague about another colleague and I could hear every word.I was annoyed and also felt a bit stupid as originally I thought she was talking to me.I almost told her that I was not happy with the way she had dealt with me but didn't as I shop in this establishment every week and thought twice about confronting her.,1
I was sitting at my desk in a enclosed office when a superior colleague asked me a question about an unknown person who sitting in our main reception area.I am not the only person within our office & had previously not seen the unknown person enter the building or who he engaged with.I therefore replied I didn't know.My colleague then asked why I didn't know & exploded into a rage about unknown people and security within the premises.I felt helpless & felt that whatever was going on in his work/personal life he was venting a frustration directly at me.I ended up walking ou,1
"I was sitting in an open space waiting area of the bus station.It was extremely hot outsideso I was wearing shorts and a top.There were other people sitting around, but we were all kinda not in the mood for anything because of the heat, thankfully we were sitting in the shades.there was a table in front of me and I had my mp3 player, phone and wallet on that table.At some point a man of the streets approached.he was way overdressed for the heat - had a very thick coat on him, long hair long beard, looked very dirty and frankly quite scary.so my instinct kicked inand I decided to gather my stuff from the table and just keep them in my hands or around my body.the guy saw that and took offence on that, so he decided to start shouting at me that it is not fair to treat him like that because he is a man of the streets, he will not steal my stuff.I had my headphones on, so I decided to ignore whatever he said and continue listening to music, even though I could hear him over my music.He took offence again because I was ignoring me and got verbally aggressive.he called me a slut and he told me what if I stick my d. into you?at which point I had en",1
"I was sitting in my garden with a glass of wine last summer chatting with my husband.We were not talking about anything in particular.Our single, male neighbour who lives in the flat below us suddenly appeared in our garden.He started hurling abusive language at both my husband and I accusing us of damaging his fence.He called me a c**nt and my husband a w*nker.He looked angry, red face and menacing.To be honest I was quite scared but also shocked at his awful language.He continued shouting abuse at us and said he would be charging us to pay for the repair to his fence.We couldn't believe how awful he was.We went inside and did not engage with him.",1
"I was speaking with my colleague and she was rude and disrespectful.She criticized some of my work and questioned my ability to run an event despite my many years of experience.She did this in front of my boss to try to make me look small and put me down but just succeeded in making herself look like the petty and difficult one.I was offended and upset but made sure I didn't rise to itso I maintained the moral high ground.I felt tense, angry and upset but was proud afterwards because of the way I conducted myself.",1
I was stood in a bar and my husband had gone to the toilet.I was alone and there were alot of groups of men in the bar.One man left his group and came over to me.He looked me up and down and then called me a bitch.I looked him straight in the eye and called him a cock.He didn't know what to do and was taken aback in front of his friends.He stepped back and said 'I can't decide if you have an attitude or not'.I stared back at him.He left and went back to his friends.,0
I was taking a ceiling light back to the shops that I had purchased the day before as it was faulty due to a part missing.The shop assistant questioned whether I had used the item and I replied no because there were parts missing.The shop assistant was then very rude and accused me of using the item and bringing it back to her a refund.I reiterated that I had only purchased the item the day before but she proceeded to be extremely rude to me.I was quite upset by this so I asked to speak to her Manager to deal with my complaint.,1
"I was talking calmly to a customer at a restaurant and then they were being racist to me about my skin colour and background, i felt so humiliated and attacked",1
"I was talking on the phone to a client as I was supporting them to stop smoking.He was very angry as he insisted I had not rang him before at a time he said I should have done.However I had rang him and left a voicemail and sent a text.This is done through our software so recorded and the number was definately correct.He was increasingly unhappy when I tried to explain this to him and called me a ""dickhead"" and "" waste of space"" and hung up.I felt slightly annoyed and the insult was unjust but I was not overly upset by it as I have worked in acute mental health for 20 years and have been regularly insulted !",1
I was talking to my partner about my day and was explaining to him that i had embarrssed myself in front of someone at the school by slipping up about someone else bein pregnant.And he called me a dickhead,1
"I was talking with my mum and arguing with her about something, we started shouting at each other and it was getting more and more heated.She was making me furious because she asked me a question to do something for her and didn't even wait for my response before sarcastically saying thank you.I was not happy as i had not fully had time to think about itand she just expected this favour from me.We kept argueing until i walked away and i could her mutter the word bitch under her breath as i walked away.",1
"I was teaching a class and a student i ususally get on well with raised their voice in a manner they wouldn't ususally use with me.I was stood at the front of the class and they were rather aggressive and confrontational in their tone.I knew something wasn't right either they were having a bad day or something had happened at home, It raised my level of concern for the child.I asked them not to raise their voice at me for which they apologised.As this was out of character i didn't address it any further beyond the verbal prompt that it not how we speak to people.Shortly after they were again rude and raised their voice which led to me becoming concerned and at this point i pulled them aside to address the underlying issue.I was rather dissapointed as we have a good relationship but i tried to remain calm and more than anything i was concerned and wanted to help this person as something else was clearly bothering them,",1
"I was trying to find a parking space in a busy local park so I could take my child out for the day.It was the school holidays so the car park was full with other families with the same idea.I saw my chance as someone leaving their space, I pulled up just beyond the space and indicated that I was going to make a manoeuvre once they had left.I started to reverse to go into the space when a car behind me decided that they were going to take it.I got out of my car to indicate to them that I had been waiting patiently",1
I was very at the beginning of my career at the age of 24.I was the youngest one in the workplace and I had to deal with a deputy manager who has Obsessive Compulsive Disorder.I was sitting in the car which was carrying all the staff including the manager.I was sitting and waiting to car move but at the last minute the deputy manager got on the vehicle and forced me to sit somewhere else as this place was always him.When I refused to do that he started insulting me.I couldn't bear it and sat somewhere else but he started wiping down everywhere in the seat.I felt humiliated by his words and behaviours in front of my collegues.,1
"I was waiting at a bus stop with my daughter.The bus stop was really busy as it was during a period when there were a lot of tourists in my city.I was chatting happily to my daughter and a few other people about the event that were were on our way too, and I was feeling happy and excited.The bus then pulled up to the bus stop.People on the bus started getting off the bus.I was to the side of the door, as i was one of the first people at the bus stop so I would be first on.After a minute, it seemed like no-one else was getting off the bus so I stepped on.As I did so, I saw that an old woman with a walker was actually walking down the aisle of the bus, and she was quite slow.I then stepped backward to let her pass, and as I did another woman started shouting at me.She was very loud and was saying things like, ""Why are you being so rude, move out of the way.Don't you know we need to get off first before you get on.""
I felt really embarrassed as there were so many people around, but I also felt angry because I wasn't even in the way!",1
"I was waiting at a roundabout to pull out and I hesitated to pull out because I didn’t feel there was enough of a gap between the cars.However, the car behind me wasn’t paying attention properly.He thought I had already gone and ran into the back of my car.I got out of the car in order to check on the damage and the man got out of his car and approached me.Luckily, the damage wasn’t too serious and only a crack in the back bumper.The man’s car showed no sign of damage, as it was a large 4x4.However, the man was very rude and uncourteous.He blamed me entirely and said it was my fault because I was a ‘bloody woman driver’ and I should have gone.He said why can’t women drive.I felt very intimidated and embarrassed.Afterwards, I reported his attitude to the insurance company and they noted it down in the files.",1
"I was walking down the street in my hometown with a close friend - It was a saturday evening and we were chatting about something funny on our way to dinner at a mexican restaurant.Because we were talking about something funny we were obviously laughing, a tall white man who had obviously been drinking and was walking down the same street as us heard us laughing and assumed we were laughing at him, even though we weren't, he started shouting at us calling us whores and telling us we were ugly.We didn't take it too seriously but certainly did walk faster and quetly in order to get away from him.",1
"I was walking in a busy street in Caracas (Venezuela) when I decided to eat a bananaand I notice a few men looking at me with a very dirty appearance insinuating they couldn't imagine how I would make them feel if I was ""sucking their cock"".That was a very disgusting feeling, I did not know what to say o how to react but I did stop eating the banana.I wanted to disappear from that place, I felt very uncomfortable and sad to",0
I was with my daughter and husband at the play park and there were some anti vaxxers there.My husband accidentally let slip to them that I worked at public health Scotland so they came and spoke to me.They didn't understand and thought I was a doctor and accused me in front of my children of murdering people by giving them a COVID vaccine and being part of a conspiracy where all I care about is pharmaceutical companies getting money and that I should be ashamed of myself.I tried to use logic and science to refute their nonsense arguments about vaccines but they wouldn't listen and chose not to try and understand.I told them they were upsetting my daughter as she started crying when they started shouting at me that I'm a disgusting murderer and i said I wouldn't get engaging in conversation with them any longer and walked off at which point they called me something along the lines of a fucking arsehole.I felt really shaken and upset.,1
I was working an outside stewarding role for a lights trail event.Part of my job is to make sure people stay on the route and do not wonder off into a different part of the gardens as it is pitch black.One night I saw a woman and her children disappear into the bushes.i followed them and asked what they were doing but the woman was day staff and just screamed at me that she was day staff and knew where she was going.i had to tell her that i still had to go with her incase anything happened but she scoffed and made me feel uncomfortable when being there.Following this she asked me if I was agency staff or if i worked for the gardens during the day and the rolled her eyes when i said i was from an agency.once completing the walk she walked off and didn't even speak to me or say thank you.she made me feel bad for doing my job and like i was incoviening her.I was expecting to receive a negative review from her as she didnt like that i had stopped her doing what she wanted to.,1
"I was working at a company I’d spent ten years with, with no recognition or promotion in the last 5.I started to get fed up that other colleagues were getting promotions around me, yet I was running a department but they wouldn’t give me the title needed with that responsibility, or the pay to reflect it.I addressed it, and got a very blunt and unappreciative response.I ended up crying at my manager because I was so upset with how I’d been treated.I was told that I needed to do more when in my mind I was already doing too much for my pay.It was upsetting to be unappreciated by people I had started to think of as family.",1
I was working at a consultation event for a new housing development that was being consutructed for the local authority I work for.The event was carried out to show local residents what would be built.A local resident was very angry about the proposals due to the social housing being built near to his property.He became very agressive with me as I explained the plans to him and began shouting and swearing at me.I felt very intimated and scared.,1
"I was working at the reception desk booking in blood test appointments when somebody entered and very rudely demanded to be seen straight away.I tried to explain that was not possible as we are always full but they would not let me speak, just kept talking and shouting over me and were always very aggressive and trying to get in my face.luckily there was a partition separating us and eventually they were escorted from the premises.",1
I was working for the bank in a customer service roll.We were extrememly busy and also short staffed on that day.There had become quite a queue of people waiting to see a member of staff.By the time this particular man ca,1
I was working in my parents business .There was a couple of men who were very drunk and being rude to staff and customers.I asked the chef who was a very big chap to help them leave the premises.They shouted at me and threatened me because I was a women they were highly insulting in language and tone.I was angry rather than scared and we got them out.,1
"I was working in my shop and a customer came in for a refund.The item belonged to a sister company of ours and we are unable to process refunds for them, it states so in the company policy and is stated on the backs of receipts etc.This particular customer became so angry over this, really raised his voice at me and was swearing and shouting at me about how I should do this refund for him.I started to feel very scared and nervous but stood my ground and explained the company policy of the situation to him over and over again.He then got his phone out and started to film me, I think he wanted to put it on social media that he was being denied his refund.In the end I had to call security to escort him off the premises.I was visibly shaken for the rest of the day because of this ordeal.",1
I was working in the clothing department of a local supermarket.During my shifts which were usually in the evening the changing rooms were never open due to the lack of staff,1
"I work in a clothing store, targeted at young adults.I anm approached by a male who wanted to return an expensive jumper that he had no receipt for.He approached pleasantly and was a little over familiar, he called me ‘darling’ and ‘love’.I explained that it was policy to have a receipt when returning and without one I was unable to help him.His demeanour changed and he quickly became aggravated.He suggested I clearly suspected he’d stolen it which was not the case and I explained calmly it was a",1
"I work in a restaurant environment and a customer was very rude the other day.They addressed me initially by shouting out oi, and then just started shouting at me.I felt really embarrassed as he was shouting very loudly and it was evident he was talking to me.",1
"I work in retail, where it is a customer facing environment.So this morning, when I was working at the tills, a customer approached me and wanted to return an item, but she hasn't got the receipt.Our store policy strictly says that we cannot accept returns without a physical receipt.So I explained to the customer that I cannot accept this return without a receipt due to our policy.The customer started to get furious telling me that ""the tag is still on"" and ""our store brand label can be clearly seen as proof of purchase"" etc.I calmly responded saying ""I understand your frustration, and I'm sorry but I cannot accept this return"".She then started screaming at me and speaking in slang, where she was insulting me.I felt deeply emotional and my feeling hurt.I had to stay calm and not argue with the customer.I then had no other option but to call a manager to handle the situation.I immediately ran to the staff changing room and starting crying as my feelings were hurt badly along with public humiliation.I have never faced a situation like that before.",1
I would feel very threatened but at the same time confrontational.I will not let someone else to call me such things.,0
I would personally ignore such people who feel the need to make sexist comments as they are not worth me dwelling on it.I would feel sad by the thought there are people who are sexist as opposed to the words actually hurting me.,0
"I'm 36 now so it has been many years since I was called any of these names.I feel growing up slut, bitch are thrown about so flippently a lot of the time I was called these names was in a playful way with friends and not with aggressive way.I do remember being called names like tramp or whore if I turned boys down in a bar it was there way of getting back at you for now wanting to kissing the",1
"I'm approached by a guy in a bar who is clearly slightly drunk.He tries to rest an elbow on the edge of the table whist trying to engage myself and the friend sat opposite me into conversation.We politely but firmly say ""sorry we're not interested"" and return to our conversation.The guy called us ""rude bitches"" and rolled his eyes before walking away.",1
"I'm at work and it is very busy, I am running around with several different tasks to do, I ask a colleague to help me with something and he responds rudely, I pull him up in the attitude and he just goes mental.He is swearing and screaming at me in front of roughly 100 people, he storms offand I try to hold myself togetherso I don't cry.For the rest of the night my colleague is rude towards me and refuses to apologise for what he has done.I turned to my boss to help me try and resolve this situation but she herself didn't want to have to deal with the rude colleague.",1
i'm driving in the car in heavy traffic.A car on my left is waiting to join the queue.As i approached the car and the driver rolled down his window and started shouting and pointing at me to let him join.I continue to drive on not letting him in.He shouted you asshole and honked his horn.i was shocked how annoyed the man was getting,1
I'm driving past town and someone decides to get in my lane by cutting me up and not I indicating.I feel frustrated because this is dangerous driving and I have an infant in the car.I shake my head at the driver who then proceeds to put their arm out of the window with a hand gesture and call me a wanker.This made me feel angry and upset as up until this point I was having a good day and they were the one in the wrong however clearly putting blame onto me.It was very tricky to move past the situation in my mind for a good few hours.,1
I'm having an argument with Nick.He is angry and I am afraid.He has been drinking again.I try to stay out of his way.He repeatedly calls me 'thick' and 'stupid'.It hurts my feelings and I start to cry which makes the insults worse as he calls me a cry baby and an idiot.I go upstairs to avoid him.I think about leaving him.I need to stay strong.,1
I'm out with my friends We're on our first holiday abroad togetherWe've all come from different parts of Europe and due to studying there and we've gone out for a meal and had a bottle of wine between the three of us.On the way back to a place we're staying one of my friends decides that they want to go out clubbing we landed at 8:00 p.m.so we're very tired and meeting my other friend decide that we don't want to.She starts getting very sloppy and starts falling over things and we have to start walking holding her arms a group of strange men walk up to us and ask us if we want to party with cocaine me and my other friend who are mostly sober both say nobut my other friend is saying yes.We managed to walk her away from them and then I mumble under my breath why do you always have to do this.I'm fed up because every time we go drinking together she gets messy and I end up scooping her up off the floor.She lose that and start insulting me saying that I'm stupid and that nobody wants to be my friend that's why I'm friends with her that if I wasn't such a bitch other people might want to get along with me.I just stood there and after a while sat on a bench what she carried on we only had one room key and my other friend still didn't want to go out clubbing either so we said well we're going back to the room you can do what you want of courseShe obviously continues saying that I ruined her fun blahbut because I'm not reacting I'm not screaming back all I said isshe doesn't really have much to work with and eventually storms off.Me and my other friend hang out on the bench for another 20 minutes before we decide let's just go make sure she's okayand she decides to come backand she apologises But the damage is already been done and this is exactly what I was bothered by initially that she gets drunk as she throws a tantrum like a child after being very very rude to me.And I just feel tired,1
"I'm standing in the supermarket in a long queue.A man pushes into the queue in front of me saying, ""I only have two items to pay for!""If he had asked nicely instead of just pushing in front of me I would be quite happy to have let him go ahead of me.Instead i tell him clamly that no matter how many items he has he could just go right to the back of the queue and wait like the rest of us have to do.He shouts right in my face, ""You stupid bitch"" and then walks away.I have my young children with me so feel bad that they had to witness that and listen to the rude language but I explained to them that I would have let him go ahead if he had asked nicelyc",1
"I'm talking on the phone to someone as part of my everyday job role.The person i am talking to is getting recognizably frustrated.I am trying to reassure the person and keep the calm but they continue to raise their voice and swear.I can tell they are not happy with the information I am given them, even if its is out of my control.I ask them calmly to not shout so that i can hear them more clearly.this does not work, they just get more frustrated.I again explain the information and try to get them to understand.The whole conversation i will remain calm and professional and never raise my voice.As they start to swear i ask them kindly to not do this.They continue to do so.I then ask them again and say i will terminate the call as I should not have to be sworn at, this is not part of my job.I say we can speak another time once they have had chance to process the information and calm down.As they continue to shout and swear, i terminate the call.",1
"I'm talking to a male friend who I have known for years.We have always been friendly but have never indicated that we are attracted to each other, and I know I am not attracted to him.Out of the blue he confesses that he has feelings for me, I indicate that they are not reciprocated and he is fine.He continues to hound me online and via text message with progressively more and more intimate messages.I stop responding and try to ignore him, i block his number.His messages turn nasty, he starts to call me derogatory and insulting names, sexist slurs.I block him in every way that I can.I know what he says about me is untrue, I'm confident in who I am and don't need to dwell on his words or his opinion of me.",0
"I'm talking to my father and telling him about my day.He asks me a question, something stupid that catches me off guard because I never really expect an answer.I answer him, excited that he's actually been listening to whatever I've been talking about, probably my day in school and what I've done and learned that day.He calls me a fucking idiot.All because I done or said something he wouldn't have done.I feel sad, but numb, as it's not the first time he's done this.I sit back, feeling dejected, and stop speaking.He encourages me to carry on later, when my mother is there, so he can pretend that he cares in front of her.I shake my head and say it doesn't matter.I carry this sadness with me throughout and the more he does it the more I sink into the belief that no one truly cares what I say.This was the last time I let him, as from then on I never told him about my day.",1
"I'm trying to park in a supermarket car-park but a woman was dawdling along in the middle of the aisle between 2 rows of cars and I can't move round her.She is on her phone, and either doesn't notice or doesn't care that she is effectively blocking the car-park.I think after a while she does notice but carries on anyway.Now, I've lost my temper and when I (eventually) manage to park, because she's got to her car, I march over to her to ask her who she thinks she is blocking the car park with her selfishness and arrogance.All she manages to say is ""OK Boomer"".",1
"I'm walking home from work in central London.I'm minding my own business with headphones on when a middle aged man approaches me.He starts trying to make small talk with me, clearly trying to hit on me.Its making me visibly uncomfortable.I tell him I have a boyfriend and that I'm walking home from work.He gets annoyed at this, calls me a bitch and walks off.All in all a terrible and unwanted attempt that wouldn't have worked even if I was single and attracted to him.",1
"I've just had a carpet fitted on my stairs and landing.The process was quite lengthy and loud, which meant I struggled to do my job as my dogs were distressed.The carpet fitter calls me to pay him.I have already clarified with the carpet shop that I can pay via card for fitting, after paying for the carpet itself in the shop.I get my debit card out and the fitter complains because he is expecting cash.I explain the shop told me I can pay by card.He calls the shop, and I speak to the sales assistant who served me and told me I could pay in the shop.She says I am mistaken, and that she told me I must pay cash.I remind her that I explicitly asked her, in front of my wife, and she said card was fine.She complains rudely that she will need to go to the cashpoint to get money out to pay the fitter.I tell her this isn't my problem.She takes card payment but is rude throughout.",1
"I’m at my father and step mothers house , she is angry as I’m 16 and don’t have a part time job.She necks a glass of wine whilst telling me angrily that I’m not welcome at their house in till I have a job.My dad just stands there and says nothing .I get my things and walk 2 miles home to my mum and step dads house where I live .I feel that I’ve been treated unfairly and the whole situation was off hand .My dad has no opinion or back bone so just allowed her to speak to me in a curt and rude way.I felt angry and despondent, I no didn’t ever want to see them again .",1
"I’m getting on the bus to go home from town to my house.I have taken a seat on the bus near the front, as there are no other seats.A woman has got on the bus, and before ive even been given a chance to offer up my seat to the older later she has said to me “are you not going to give up your seat?I immediately feel embarassed as everyone on the bus has observed the interaction, and people may be thinking that I am rude.I don’t know what to say, so I apologise and offer my seat, to which I am given the side eye.for the rest of the journey I feel on edge and like people are judging me",1
I’m in the queue at the post office.I’m on the phone talking to my friend and laughing away whilst I am waiting for my turn.Out of nowhere someone behind me in the queue has told me to be quiet because she has a headache and I am making too much noise.I am shocked by this and feel angry that she just spoke to me like that,1
I’m talking to my friend and they have called me an idiot I feel hurt and upset that they could have his opinion about me this makes me wonder why they think I am an idio,1
"I’m working in a Turkish restaurant as a waitress.We have a regular costumer who I know for almost 3 months whenever he comes he ask us to turn off the music because for his religious beliefs and we do what’s asked.He doesn’t know that I’m Turkish from my appearance which people mostly thinks that I’m European 
He comes one day and orders his food and calls me something I can translate as “evil bitch”It’s because no one turn off the music while he’s eating 
It’s a female singer and I’m a female waitress 
We are the sinner devils",1
"I’m working on a reception desk at a University Study Abroad department, when a mature student comes to the desk to ask some questions.Whilst there may be some language barriers and cultural differences, as this student is not from the UK, the student is belittling me for not knowing the answers to all of her questions and not “being any use at all”.The student does not swear at me, but uses a very condescending and nasty tone and tells me that I am bad at my job.I can feel adrenaline kicking in because I’m angry this student is talking to me in such a horrible way, but because I am at work, I stay calm and ask her politely not to speak to me in this way.",1
"If I were to be addressed as a slut it is possibly because I may be out in the club having a good time with my girls and a guy could approach me and I could reject them and then out of anger, they could call me a bitch or something.In a scenario like that I wouldn't really care cause I know that is the way men are.I personally haven't experienced anyone calling me a sexist slur.",0
Im in a nightclub with my friends and we are just having fun and dancing.A man comes over and started talking to me.What I didn’t realise was that he had just be talking to another girland I think she thought she was in with a chance with himbut he had decided to stop the conversation with her and start talking to me.He then offered to get me and drink so he started headed to the bar (my friend went with him to check that he wasn’t going to spike the drink or anything untoward like that) the girl who he was previously talking to then comes over to me and starts shouting at me and calling me a whore and a slut and a bitch.,1
"Im out with friends in a bar, we’ve been dancing and made our way to the toilets.As I’m washing my hands, a girl I’ve never seen before comes up to me and accuses me of making fun of her on the dance floor.She verbally abuses me as I stand there looking stunned as I’d not done anything of the kind and never would!My friends suddenly jump in to defend me and shouting ensues.I tell her I would never do that to anyone and usher my friends away from her and out of the toilets.It’s left me quite shaken and emotional to be set up on in that way, knowing I’d never dream of making fun of anyone.I hate confrontation.",1
"im reception for a leisure centre and denied access to a group of gypsy boys who had been causing a lot of hassle throughout the week.runing about places they shouldnt be stealing disrupting other customers etc.
the odest brother decided to be difficult and refued to leave and call me a stupid bitch.this realy annoyed me as they were being prats and knew it and didnt expect me to ban them",1
"In the supermarket with a buggy and my 5 year old, the aisles are narrow and it's hard to move as a group.My son broke away to look at something and got under the feet of another customer rushing past.They huffed loudly as they tried to avoid them and then again in my direction as i pulled my son back.No insult was said but was very much intended toward me.",1
"It happen a couple of years back, one of my very good friends who was having a infatuation on me.we are having a flight on some very small issue.The issue was regarding one of our common friend, we are having a good and healthy conversation about the lecture and our academic syllabus.",1
"It was a  colleague, recently,  who didn't like a working status that was being dicussed then put it in a disucsion board rudley not naming names but clearly not happy.I was taken aback by the comment as it was an open meeting for everyone to say openly and not refer to typing something later on that she was noy happy about.She also had the chance to speak",1
It was a work colleague who I didn’t agree with one of her ideas and challenged this in a professional manner.Because my argument was compelling she lost her temper and refered to me as a bitch,1
"It was about 2 years ago, Shen my partner and I had an argument.It is not usual that we argue, especially in a rude way.There was this woman who my partner used to like and I she was still a friend of his at the time, which I didn't like.The argument happened on an evening when we were both at home, playing some games.We did start talking about herand I started asking questions in the hopes that I could catch him out with something.He felt interrogated and cornered and he burst out after a while and used the F word on me and became really angry.I have never seen him like that before.He accused me of not trusting him and blamed me for.keep bringing this subject up.He was rude and swore, which is very unusual for him.I felt angry too because I didn't expect this reaction, I expected him to be apologetic instead.He kept leaving the room and didn't want me to approach him, whilst i",1
"It was an evening in January 2 years ago.I happened in the building I live in at my front door.I already had a difficult relationship with my male upstairs neighbour who had left his job at the start of the pandemic and seemingly couldn't get another.Because he was unemployed, his routine became different to mine.He was staying up very late at night and sleeping all day.I had to speak to him about it and ask him to keep his noise down late at night because I had to get up early everyday for work.This conversation did not go well and our relationship continued to get worse over the course of 2020.At the start of the next year, I had another interaction with him during which he was extremely, verbally abusive.Very aggressive,",1
"It was at my family home several years ago.A family member and a friend were renovating ur bathroom.They had just set the floor tiles down, but I wasn’t aware how long the tiles had been down for as I was out most of the day.I decided to use the bathroom when I got home.I didn’t realise how long floor tiles needed to sit before you could walk on them again.So I walked on the tiles.I didn’t notice a difference, but I must have moved one of them slightly.When I came out of the bathroom, my family member shouted at me for going in.They looked at the tiles and called me an idiot for going in there and walking on them.I was upset, as I hadn’t been told not to.I was also embarrassed because they called me an idiot in front of our family friend.",1
"It was during an argument with my now ex boyfriend.I had just finally found the proof that he was having an affair which he had been denying for months.He became very angry, agitated and started to verbally attack me.During the course of the argument he angrily called me a bitch and many other names and swear words.I felt intimidated, disrespected and angry.I was the one in the right and had just found out how appalling he was treating me and yet he reacted like he had been wronged because I’d found the evidence to prove my suspicions.Whilst he was shouting at me I also felt relieved.Relieved that I was finally seeing him for who he was and that I was getting the closure I needed by having my eyes opened to how awful he was.Those feelings of relief were a weird mixture combined with anger and disbelief.When guys are verbally abusive with their words it is very intimidating for wo",1
"It was last year, I went to pick my child up from school.I legally parked in a residential area.I wasn’t blocking any ones drive but a lady was not happy in the slightest that I had parked near her house.She was very angry, came out of her house with her dog and started yelling at me!She was swearing, using the F word, saying how fed up she was that people were parking near her house etc.I apologised but said I had t done anything wrong, which made matters worse.My child was with me and clearly worried.Which made me angry!To which I then insulted her back (not an ideal situation to be honest!)",1
